x_data|y_data
WASHINGTON — Congressional Republicans have a new fear when it c|ASHINGTON — Congressional Republicans have a new fear when it co
omes to their health care lawsuit against the Obama administrati|mes to their health care lawsuit against the Obama administratio
on: They might win. The incoming Trump administration could choo|n: They might win. The incoming Trump administration could choos
se to no longer defend the executive branch against the suit, wh|e to no longer defend the executive branch against the suit, whi
ich challenges the administration’s authority to spend billions |ch challenges the administration’s authority to spend billions o
of dollars on health insurance subsidies for and Americans, hand|f dollars on health insurance subsidies for and Americans, handi
ing House Republicans a big victory on issues. But a sudden loss|ng House Republicans a big victory on issues. But a sudden loss 
 of the disputed subsidies could conceivably cause the health ca|of the disputed subsidies could conceivably cause the health car
re program to implode, leaving millions of people without access|e program to implode, leaving millions of people without access 
 to health insurance before Republicans have prepared a replacem|to health insurance before Republicans have prepared a replaceme
ent. That could lead to chaos in the insurance market and spur a|nt. That could lead to chaos in the insurance market and spur a 
 political backlash just as Republicans gain full control of the|political backlash just as Republicans gain full control of the 
 government. To stave off that outcome, Republicans could find t|government. To stave off that outcome, Republicans could find th
hemselves in the awkward position of appropriating huge sums to |emselves in the awkward position of appropriating huge sums to t
temporarily prop up the Obama health care law, angering conserva|emporarily prop up the Obama health care law, angering conservat
tive voters who have been demanding an end to the law for years.|ive voters who have been demanding an end to the law for years. 
 In another twist, Donald J. Trump’s administration, worried abo|In another twist, Donald J. Trump’s administration, worried abou
ut preserving executive branch prerogatives, could choose to fig|t preserving executive branch prerogatives, could choose to figh
ht its Republican allies in the House on some central questions |t its Republican allies in the House on some central questions i
in the dispute. Eager to avoid an ugly political pileup, Republi|n the dispute. Eager to avoid an ugly political pileup, Republic
cans on Capitol Hill and the Trump transition team are gaming ou|ans on Capitol Hill and the Trump transition team are gaming out
t how to handle the lawsuit, which, after the election, has been| how to handle the lawsuit, which, after the election, has been 
 put in limbo until at least late February by the United States |put in limbo until at least late February by the United States C
Court of Appeals for the District of Columbia Circuit. They are |ourt of Appeals for the District of Columbia Circuit. They are n
not yet ready to divulge their strategy. “Given that this pendin|ot yet ready to divulge their strategy. “Given that this pending
g litigation involves the Obama administration and Congress, it | litigation involves the Obama administration and Congress, it w
would be inappropriate to comment,” said Phillip J. Blando, a sp|ould be inappropriate to comment,” said Phillip J. Blando, a spo
okesman for the Trump transition effort. “Upon taking office, th|kesman for the Trump transition effort. “Upon taking office, the
e Trump administration will evaluate this case and all related a| Trump administration will evaluate this case and all related as
spects of the Affordable Care Act. ” In a potentially decision i|pects of the Affordable Care Act. ” In a potentially decision in
n 2015, Judge Rosemary M. Collyer ruled that House Republicans h| 2015, Judge Rosemary M. Collyer ruled that House Republicans ha
ad the standing to sue the executive branch over a spending disp|d the standing to sue the executive branch over a spending dispu
ute and that the Obama administration had been distributing the |te and that the Obama administration had been distributing the h
health insurance subsidies, in violation of the Constitution, wi|ealth insurance subsidies, in violation of the Constitution, wit
thout approval from Congress. The Justice Department, confident |hout approval from Congress. The Justice Department, confident t
that Judge Collyer’s decision would be reversed, quickly appeale|hat Judge Collyer’s decision would be reversed, quickly appealed
d, and the subsidies have remained in place during the appeal. I|, and the subsidies have remained in place during the appeal. In
n successfully seeking a temporary halt in the proceedings after| successfully seeking a temporary halt in the proceedings after 
 Mr. Trump won, House Republicans last month told the court that|Mr. Trump won, House Republicans last month told the court that 
 they “and the ’s transition team currently are discussing poten|they “and the ’s transition team currently are discussing potent
tial options for resolution of this matter, to take effect after|ial options for resolution of this matter, to take effect after 
 the ’s inauguration on Jan. 20, 2017. ” The suspension of the c|the ’s inauguration on Jan. 20, 2017. ” The suspension of the ca
ase, House lawyers said, will “provide the and his future admini|se, House lawyers said, will “provide the and his future adminis
stration time to consider whether to continue prosecuting or to |tration time to consider whether to continue prosecuting or to o
otherwise resolve this appeal. ” Republican leadership officials|therwise resolve this appeal. ” Republican leadership officials 
 in the House acknowledge the possibility of “cascading effects”|in the House acknowledge the possibility of “cascading effects” 
 if the payments, which have totaled an estimated $13 billion, a|if the payments, which have totaled an estimated $13 billion, ar
